,count,mean,std,min,25%,50%,75%,max
1bran,400000.0,68384.79857952087,63430.83146040756,981.3388046724775,34687.127807710254,51271.452431342346,79008.5492299289,2704374.8983804365
2fusi,400000.0,197848.4549639478,147886.5554064049,983.9994554468034,102025.35986313768,164037.91916311882,252939.10739311462,4378224.2924095765
3gemi,400000.0,131977.24838566434,99172.05615278562,1803.5597518644097,67774.8156638672,107808.37515613387,167084.66469364415,2167869.1200585165
4mini,400000.0,225053.4124110181,177416.0053546977,812.8231049235134,107269.30030856132,184635.41868645552,292875.1274920625,5362758.928051346
5oleo,400000.0,71659.81190846153,67285.08002610198,1116.535537715011,32356.850002844185,52990.97851869666,87229.3487226249,2949749.0365145407
6sagr,400000.0,179398.19564760887,141449.45478371292,878.708107652195,87750.37631283246,144829.40191907005,229548.9216656073,3212893.4576363657
7virg,400000.0,153795.83268440253,120036.0225962638,515.7044612626981,76731.10493726374,124179.06623681122,196195.74262534847,2773050.2297003553
8branfusisagroleovirgminigemi,400000.0,642745.9931778563,483238.2721498266,1694.1037837905699,310095.91259958164,600464.5070079358,873056.0095715455,12308448.927597407
9branfusi,400000.0,132800.72588409216,112320.8799808349,1106.5048757801935,61062.38355213158,103591.03082527782,169137.82197027473,6027567.132318522
10sagroleovirgminigemi,400000.0,151427.7391637137,131479.9132709428,761.5261518222356,66524.26937720015,117016.58394635259,194876.69576248623,4306194.083857413
11sagroleo,400000.0,129735.5232999636,97130.64477280436,629.1711599275925,66592.59133641364,107122.96732648347,165331.34180335773,4139154.42025174
12virgminigemi,400000.0,180834.0806921587,148255.0159969797,1403.8536468036311,83677.30091541549,143397.41304189994,233117.58473753367,5064674.908630586
13minigemi,400000.0,188889.57313314467,157499.71216463472,880.365521314628,84525.90640759215,148635.21637921123,244685.5221770883,3795392.7203550506
